"","studyId","trait_reported"
"1335","GCST000563","Ankylosing spondylitis"
"1336","GCST002352","Type 2 diabetes"
"1337","GCST003216","LDL cholesterol"
"1338","GCST005568","Rheumatoid arthritis (ACPA-positive)"
"1339","GCST006005_4","High density lipoprotein cholesterol levels [conditional on round 4]"
"1340","GCST007840","Low HDL-cholesterol levels"
"1341","GCST008079_5","LDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df) [H]"
"1342","GCST008833","Type 2 diabetes"
"1343","GCST008933_2","Sphingomyelin levels [SM(34:0;2]"
"1344","GCST002287","Coronary artery disease or ischemic stroke"
"1345","GCST003427_2","Alzheimer disease and age of onset [within families]"
"1346","GCST004902","Parkinson's disease"
"1347","GCST005573","Osteoarthritis of the hip or knee"
"1348","GCST007612","Chronic obstructive pulmonary disease or coronary artery disease (pleiotropy)"
"1349","GCST008086_5","LDL cholesterol levels in current drinkers [Hispanic]"
"1350","GCST008922_6","Triacylglyceride levels [TAG(52:4;0]"
"1351","GCST008928","Phosphatidylcholine-ether levels [PCO(16:0;0-20:3;0]"
"1352","GCST008929","Phosphatidylethanolamine levels [PE(18:0;0-18:2;0]"
"1353","GCST009391_80","Metabolite levels [TAG 50:4]"
"1354","FINNGEN_R5_E4_OBESITY_HYPER","Obesity and other hyperalimentation"
"1355","GCST001392_12","Lipid metabolism phenotypes [XL-HDL-CE]"
"1356","GCST004758","Type 2 diabetes"
"1357","GCST007286_2","Triglycerides x physical activity interaction (2df test) [EA]"
"1358","FINNGEN_R5_I9_VHD","Valvular heart disease including rheumatic fever"
"1359","GCST000533_6","Lipid metabolism phenotypes [HDL-C.assay, whole]"
"1360","GCST001247_9","Cardiovascular disease risk factors [TRIG]"
"1361","GCST001392_7","Lipid metabolism phenotypes [M-VLDL-PL]"
"1362","GCST002326_2","Pulmonary emphysema [Hispanic]"
"1363","GCST009149","Triglyceride levels"
"1364","GCST002965_27","Glycerophospholipid levels [Phosphatidylcholine diacyl C40:4]"
"1365","GCST005068","LDL cholesterol"
"1366","GCST005447","Total cholesterol levels in LDL"
"1367","FINNGEN_R5_G6_ALZHEIMER_INCLAVO","""Alzheimer disease, including avohilmo"""
"1368","GCST000284","HDL cholesterol"
"1369","GCST002964_6","Sphingolipid levels [Sphingomyeline C24:0]"
"1370","GCST002965_6","Glycerophospholipid levels [Phosphatidylcholine acyl-alkyl C36:5]"
"1371","GCST007991","Large artery stroke"
"1372","GCST008077","LDL cholesterol levels"
"1373","GCST008601","Longevity (age >99th survival percentile)"
"1374","GCST010555","Type 2 diabetes"
"1375","GCST90007527","Low hand grip strength (60 years and older) (EWGSOP)"
"1376","GCST000479","Alzheimer's disease"
"1377","GCST002965_14","Glycerophospholipid levels [Phosphatidylcholine acyl-alkyl C44:6]"
"1378","GCST004236_2","LDL cholesterol levels [BMI unadjusted]"
"1379","GCST007544","Coronary artery disease and total cholesterol levels (multivariate analysis)"
"1380","GCST007707_2","Hypertension [Japanese]"
"1381","GCST008684","HDL cholesterol levels in never smokers [African]"
"1382","GCST009391_48","Metabolite levels [PC 36:2]"
"1383","GCST009513","Parkinson's disease (age of onset)"
"1384","GCST010550","Acute ischemic stroke x type 2 diabetes interaction"
"1385","NEALE2_20002_1478","Cervical spondylosis | non-cancer illness code, self-reported"
"1386","FINNGEN_R5_M13_RHEUMA_INCLAVO","Rheumatoid arthritis"
"1387","GCST001965_3","Glycemic traits [FPG]"
"1388","GCST002675","Response to statins (LDL cholesterol change)"
"1389","GCST002965_17","Glycerophospholipid levels [Phosphatidylcholine diacyl C34:2]"
"1390","GCST005507","Free cholesterol levels in medium HDL [conditioned on 885 SNPs]"
"1391","GCST005892","Glomerular filtration rate in type 2 diabetes"
"1392","GCST006700","Parental longevity (father's age at death)"
"1393","GCST007282_2","HDL cholesterol x physical activity interaction (2df test) [EA]"
"1394","SAIGE_740_1","Osteoarthritis; localized"
